Region,Seafood_Intake,Bottled_Water_Intake,Salt_Intake,Sugar_Intake,Packaged_Food_Intake
North America,86,230,46,10,215
North America,102,311,69,4,187
North America,135,219,79,22,186
Australia,160,306,68,10,294
Australia,181,141,35,25,288
Asia,201,159,42,13,206
North America,177,184,60,14,334
Asia,141,237,30,15,200
Australia,185,300,61,21,229
North America,91,329,44,12,200
Europe,65,297,50,17,342
Asia,171,214,60,9,351
Asia,148,275,36,20,366
Europe,81,318,63,11,343
Australia,166,315,56,4,238
North America,160,262,49,5,234
Australia,190,194,78,15,344
South America,86,147,32,10,370
Australia,177,289,69,21,282
Asia,186,155,80,18,203
North America,108,199,35,24,288
Australia,126,238,63,22,299
Australia,174,281,16,24,364
North America,148,324,58,6,255
South America,90,196,15,11,308
